Fund,Date,Close Price
AAPL,2024-07-03,221.5500
AAPL,2024-06-28,210.6200
AAPL,2024-05-31,192.2500
AAPL,2024-04-30,170.0977
AAPL,2024-03-28,171.2461
AAPL,2024-02-29,180.5035
AAPL,2024-01-31,183.9148
AAPL,2023-12-29,192.0234
AAPL,2023-11-30,189.4502
AAPL,2023-10-31,170.1016
AAPL,2023-09-29,170.5399
AAPL,2023-08-31,187.1347
AAPL,2023-07-31,195.4173
AAPL,2023-06-30,192.9504
AAPL,2023-05-31,176.3182
AAPL,2023-04-28,168.5536
AAPL,2023-03-31,163.8054
AAPL,2023-02-28,146.4315
AAPL,2023-01-31,143.1142
AAPL,2022-12-30,128.8712
AAPL,2022-11-30,146.8237
AAPL,2022-10-31,151.8381
AAPL,2022-09-30,136.8464
AAPL,2022-08-31,155.6801
AAPL,2022-07-29,160.6947
AAPL,2022-06-30,135.1928
AAPL,2022-05-31,147.1774
AAPL,2022-04-29,155.6614
AAPL,2022-03-31,172.4075
AAPL,2022-02-28,163.0372
AAPL,2022-01-31,172.3554
AAPL,2021-12-31,175.1067
AAPL,2021-11-30,163.0069
AAPL,2021-10-29,147.5074
AAPL,2021-09-30,139.3344
AAPL,2021-08-31,149.5063
AAPL,2021-07-30,143.4118
AAPL,2021-06-30,134.6612
AAPL,2021-05-28,122.5185
AAPL,2021-04-30,129.0355
AAPL,2021-03-31,119.8972
AAPL,2021-02-26,119.0236
AAPL,2021-01-29,129.3324
AAPL,2020-12-31,130.0478
AAPL,2020-11-30,116.6795
AAPL,2020-10-30,106.5084
AAPL,2020-09-30,113.3083
AAPL,2020-08-31,126.2525
AAPL,2020-07-31,103.7731
AAPL,2020-06-30,89.0656
AAPL,2020-05-29,77.6247
AAPL,2020-04-30,71.5418
AAPL,2020-03-31,61.9209
AAPL,2020-02-28,66.5646
AAPL,2020-01-31,75.1864
AAPL,2019-12-31,71.3337
AAPL,2019-11-29,64.9206
AAPL,2019-10-31,60.2501
AAPL,2019-09-30,54.2459
AAPL,2019-08-30,50.5572
AAPL,2019-07-31,51.4018
AAPL,2019-06-28,47.7536
AAPL,2019-05-31,42.2405
AAPL,2019-04-30,48.2288
AAPL,2019-03-29,45.6524
AAPL,2019-02-28,41.6147
AAPL,2019-01-31,39.8314
AAPL,2018-12-31,37.7494
AAPL,2018-11-30,42.7367
AAPL,2018-10-31,52.1935
AAPL,2018-09-28,53.8342
AAPL,2018-08-31,54.2849
AAPL,2018-07-31,45.2211
AAPL,2018-06-29,43.9901
AAPL,2018-05-31,44.4083
AAPL,2018-04-30,39.1214
AAPL,2018-03-29,39.7180
AAPL,2018-02-28,42.1657
AAPL,2018-01-31,39.4761
AAPL,2017-12-29,39.9005
AAPL,2017-11-30,40.5183
AAPL,2017-10-31,39.7125
AAPL,2017-09-29,36.2073
AAPL,2017-08-31,38.5284
AAPL,2017-07-31,34.7999
AAPL,2017-06-30,33.6979
AAPL,2017-05-31,35.7429
AAPL,2017-04-28,33.4743
AAPL,2017-03-31,33.4766
AAPL,2017-02-28,31.9223
AAPL,2017-01-31,28.1566
AAPL,2016-12-30,26.8735
AAPL,2016-11-30,25.6437
AAPL,2016-10-31,26.2085
AAPL,2016-09-30,26.0953
AAPL,2016-08-31,24.4911
AAPL,2016-07-29,23.9260
AAPL,2016-06-30,21.9492
AAPL,2016-05-31,22.9273
AAPL,2016-04-29,21.3914
AAPL,2016-03-31,24.8714
AAPL,2016-02-29,22.0646
AAPL,2016-01-29,22.0940
AAPL,2015-12-31,23.8916
AAPL,2015-11-30,26.8514
AAPL,2015-10-30,27.0076
AAPL,2015-09-30,24.8493
AAPL,2015-08-31,25.4844
AAPL,2015-07-31,27.2912
AAPL,2015-06-30,28.2193
AAPL,2015-05-29,29.3116
AAPL,2015-04-30,28.0410
AAPL,2015-03-31,27.8796
AAPL,2015-02-27,28.7826
AAPL,2015-01-30,26.1483
AAPL,2014-12-31,24.6351
AAPL,2014-11-28,26.5433
AAPL,2014-10-31,24.0001
AAPL,2014-09-30,22.3890
AAPL,2014-08-29,22.7779
AAPL,2014-07-31,21.1394
AAPL,2014-06-30,20.5490
AAPL,2014-05-30,19.9959
AAPL,2014-04-30,18.5367
AAPL,2014-03-31,16.8608
AAPL,2014-02-28,16.5309
AAPL,2014-01-31,15.6325
AAPL,2013-12-31,17.5192
AAPL,2013-11-29,17.3646
AAPL,2013-10-31,16.2276
AAPL,2013-09-30,14.8010
AAPL,2013-08-30,15.1259
AAPL,2013-07-31,13.9568
AAPL,2013-06-28,12.2296
AAPL,2013-05-31,13.8706
AAPL,2013-04-30,13.5655
AAPL,2013-03-28,13.5618
AAPL,2013-02-28,13.5232
AAPL,2013-01-31,13.8763
AAPL,2012-12-31,16.2124
AAPL,2012-11-30,17.8303
AAPL,2012-10-31,18.0505
AAPL,2012-09-28,20.2270
AAPL,2012-08-31,20.1705
AAPL,2012-07-31,18.4399
AAPL,2012-06-29,17.6320
AAPL,2012-05-31,17.4427
AAPL,2012-04-30,17.6314
AAPL,2012-03-30,18.1014
AAPL,2012-02-29,16.3772
AAPL,2012-01-31,13.7819
AAPL,2011-12-30,12.2276
AAPL,2011-11-30,11.5393
AAPL,2011-10-31,12.2210
AAPL,2011-09-30,11.5127
AAPL,2011-08-31,11.6187
AAPL,2011-07-29,11.7893
AAPL,2011-06-30,10.1345
AAPL,2011-05-31,10.5016
AAPL,2011-04-29,10.5710
AAPL,2011-03-31,10.5220
AAPL,2011-02-28,10.6640
AAPL,2011-01-31,10.2447
AAPL,2010-12-31,9.7386
AAPL,2010-11-30,9.3942
AAPL,2010-10-29,9.0871
AAPL,2010-09-30,8.5669
AAPL,2010-08-31,7.3396
AAPL,2010-07-30,7.7668
AAPL,2010-06-30,7.5941
AAPL,2010-05-28,7.7557
AAPL,2010-04-30,7.8828
AAPL,2010-03-31,7.0951
AAPL,2010-02-26,6.1778
AAPL,2010-01-29,5.7987
AAPL,2009-12-31,6.3624
AAPL,2009-11-30,6.0356
AAPL,2009-10-30,5.6911
AAPL,2009-09-30,5.5960
AAPL,2009-08-31,5.0786
AAPL,2009-07-31,4.9330
AAPL,2009-06-30,4.3002
AAPL,2009-05-29,4.1003
AAPL,2009-04-30,3.7990
AAPL,2009-03-31,3.1738
AAPL,2009-02-27,2.6964
AAPL,2009-01-30,2.7212
AAPL,2008-12-31,2.5769
AAPL,2008-11-28,2.7979
AAPL,2008-10-31,3.2483
AAPL,2008-09-30,3.4316
AAPL,2008-08-29,5.1184
AAPL,2008-07-31,4.7990
AAPL,2008-06-30,5.0553
AAPL,2008-05-30,5.6987
AAPL,2008-04-30,5.2519
AAPL,2008-03-31,4.3325
AAPL,2008-02-29,3.7746
AAPL,2008-01-31,4.0868
AAPL,2007-12-31,5.9804
AAPL,2007-11-30,5.5015
AAPL,2007-10-31,5.7349
AAPL,2007-09-28,4.6335
AAPL,2007-08-31,4.1810
AAPL,2007-07-31,3.9781
AAPL,2007-06-29,3.6846
AAPL,2007-05-31,3.6590
AAPL,2007-04-30,3.0131
AAPL,2007-03-30,2.8051
AAPL,2007-02-28,2.5545
AAPL,2007-01-31,2.5883
AAPL,2006-12-29,2.5615
AAPL,2006-11-30,2.7674
AAPL,2006-10-31,2.4479
AAPL,2006-09-29,2.3242
AAPL,2006-08-31,2.0485
AAPL,2006-07-31,2.0518
AAPL,2006-06-30,1.7291
AAPL,2006-05-31,1.8046
AAPL,2006-04-28,2.1252
AAPL,2006-03-31,1.8936
AAPL,2006-02-28,2.0678
AAPL,2006-01-31,2.2798
AAPL,2005-12-30,2.1705
AAPL,2005-11-30,2.0476
AAPL,2005-10-31,1.7387
AAPL,2005-09-30,1.6186
AAPL,2005-08-31,1.4157
AAPL,2005-07-29,1.2877
AAPL,2005-06-30,1.1114
AAPL,2005-05-31,1.2004
AAPL,2005-04-29,1.0887
AAPL,2005-03-31,1.2581
AAPL,2005-02-28,1.3544
AAPL,2005-01-31,1.1609
AAPL,2004-12-31,0.9722
AAPL,2004-11-30,1.0122
AAPL,2004-10-29,0.7910
AAPL,2004-09-30,0.5850
AAPL,2004-08-31,0.5207
AAPL,2004-07-30,0.4882
AAPL,2004-06-30,0.4912
AAPL,2004-05-28,0.4236
AAPL,2004-04-30,0.3892
AAPL,2004-03-31,0.4082
AAPL,2004-02-27,0.3611
AAPL,2004-01-30,0.3406
AAPL,2003-12-31,0.3226
AAPL,2003-11-28,0.3157
AAPL,2003-10-31,0.3455
AAPL,2003-09-30,0.3128
AAPL,2003-08-29,0.3413
AAPL,2003-07-31,0.3182
AAPL,2003-06-30,0.2877
AAPL,2003-05-30,0.2710
AAPL,2003-04-30,0.2147
AAPL,2003-03-31,0.2135
AAPL,2003-02-28,0.2266
AAPL,2003-01-31,0.2168
AAPL,2002-12-31,0.2163
AAPL,2002-11-29,0.2340
AAPL,2002-10-31,0.2426
AAPL,2002-09-30,0.2189
AAPL,2002-08-30,0.2227
AAPL,2002-07-31,0.2304
AAPL,2002-06-28,0.2675
AAPL,2002-05-31,0.3517
AAPL,2002-04-30,0.3664
AAPL,2002-03-28,0.3573
AAPL,2002-02-28,0.3276
AAPL,2002-01-31,0.3732
AAPL,2001-12-31,0.3306
AAPL,2001-11-30,0.3215
AAPL,2001-10-31,0.2651
AAPL,2001-09-28,0.2341
AAPL,2001-08-31,0.2800
AAPL,2001-07-31,0.2837
AAPL,2001-06-29,0.3510
AAPL,2001-05-31,0.3012
AAPL,2001-04-30,0.3848
AAPL,2001-03-30,0.3332
AAPL,2001-02-28,0.2755
AAPL,2001-01-31,0.3264
AAPL,2000-12-29,0.2246
AAPL,2000-11-30,0.2491
AAPL,2000-10-31,0.2953
AAPL,2000-09-29,0.3887
AAPL,2000-08-31,0.9199
AAPL,2000-07-31,0.7670
AAPL,2000-06-30,0.7907
AAPL,2000-05-31,0.6340
AAPL,2000-04-28,0.9364
AAPL,2000-03-31,1.0251
AAPL,2000-02-29,0.8651
AAPL,2000-01-31,0.7831
AAPL,1999-12-31,0.7760
META,2024-07-03,509.9600
META,2024-06-28,504.2200
META,2024-05-31,466.3675
META,2024-04-30,429.7438
META,2024-03-28,485.0989
META,2024-02-29,489.6444
META,2024-01-31,389.3375
META,2023-12-29,353.2319
META,2023-11-30,326.4771
META,2023-10-31,300.6503
META,2023-09-29,299.5925
META,2023-08-31,295.2814
META,2023-07-31,317.9447
META,2023-06-30,286.3897
META,2023-05-31,264.1755
META,2023-04-28,239.8257
META,2023-03-31,211.5041
META,2023-02-28,174.5802
META,2023-01-31,148.6636
META,2022-12-30,120.0925
META,2022-11-30,117.8571
META,2022-10-31,92.9684
META,2022-09-30,135.4009
META,2022-08-31,162.5949
META,2022-07-29,158.7728
META,2022-06-30,160.9183
META,2022-05-31,193.2417
META,2022-04-29,200.0577
META,2022-03-31,221.9026
META,2022-02-28,210.5959
META,2022-01-31,312.6157
META,2021-12-31,335.6582
META,2021-11-30,323.7926
META,2021-10-29,322.9045
META,2021-09-30,338.6919
META,2021-08-31,378.5997
META,2021-07-30,355.5671
META,2021-06-30,346.9948
META,2021-05-28,328.0538
META,2021-04-30,324.4114
META,2021-03-31,293.9242
META,2021-02-26,257.0901
META,2021-01-29,257.7986
META,2020-12-31,272.5981
META,2020-11-30,276.4003
META,2020-10-30,262.5688
META,2020-09-30,261.3613
META,2020-08-31,292.5969
